Piece_ID | Slot_Position (y, x) | SSIM_Score
----------------------------------------------
0        | (03, 26)             | 0.999061
1        | (29, 19)             | 0.997726
2        | (22, 12)             | 0.986199
3        | (18, 13)             | 0.984945
4        | (13, 21)             | 0.999040
5        | (13, 30)             | 0.997004
6        | (10, 12)             | 0.995541
7        | (00, 14)             | 0.998710
8        | (08, 18)             | 0.993973
9        | (10, 22)             | 0.997055
10       | (18, 14)             | 0.992812
11       | (09, 14)             | 0.997567
12       | (27, 03)             | 0.997143
13       | (13, 14)             | 0.997999
14       | (22, 07)             | 0.994525
15       | (26, 26)             | 0.997745
16       | (26, 01)             | 0.996054
17       | (11, 00)             | 0.995756
18       | (01, 22)             | 0.999333
19       | (27, 00)             | 0.997629
20       | (06, 01)             | 0.999362
21       | (24, 23)             | 0.988098
22       | (15, 08)             | 0.316535
23       | (23, 12)             | 0.993627
24       | (21, 18)             | 0.992843
25       | (28, 20)             | 0.997862
26       | (26, 18)             | 0.995405
27       | (18, 26)             | 0.997703
28       | (08, 06)             | 0.997260
29       | (15, 25)             | 0.334633
30       | (31, 11)             | 0.999255
31       | (26, 24)             | 0.998232
32       | (03, 06)             | 0.997968
33       | (15, 07)             | 0.444200
34       | (14, 06)             | 0.996163
35       | (13, 09)             | 0.997768
36       | (21, 29)             | 0.996089
37       | (29, 13)             | 0.998380
38       | (28, 18)             | 0.998681
39       | (03, 08)             | 0.996168
40       | (11, 16)             | 0.994338
41       | (21, 10)             | 0.994934
42       | (02, 16)             | 0.998116
43       | (24, 10)             | 0.991134
44       | (23, 01)             | 0.998134
45       | (23, 04)             | 0.996427
46       | (16, 11)             | 0.511571
47       | (17, 25)             | 0.847655
48       | (25, 18)             | 0.994754
49       | (06, 05)             | 0.994516
50       | (07, 07)             | 0.998035
51       | (23, 14)             | 0.994217
52       | (01, 00)             | 0.997277
53       | (17, 17)             | 0.577317
54       | (29, 26)             | 0.997409
55       | (30, 16)             | 0.998319
56       | (25, 10)             | 0.994915
57       | (16, 27)             | 0.346321
58       | (05, 29)             | 0.998494
59       | (04, 01)             | 0.997561
60       | (28, 24)             | 0.996893
61       | (07, 04)             | 0.998802
62       | (15, 06)             | 0.383548
63       | (29, 24)             | 0.996947
64       | (31, 25)             | 0.998099
65       | (21, 20)             | 0.994428
66       | (13, 04)             | 0.996898
67       | (21, 09)             | 0.996360
68       | (07, 29)             | 0.997255
69       | (12, 23)             | 0.998803
70       | (03, 22)             | 0.999459
71       | (00, 02)             | 0.997838
72       | (21, 00)             | 0.997562
73       | (21, 24)             | 0.996165
74       | (16, 16)             | 0.531824
75       | (12, 21)             | 0.995408
76       | (01, 30)             | 0.999213
77       | (23, 09)             | 0.995476
78       | (30, 26)             | 0.996431
79       | (06, 31)             | 0.998878
80       | (02, 21)             | 0.998358
81       | (12, 27)             | 0.998310
82       | (28, 03)             | 0.997581
83       | (08, 20)             | 0.996683
84       | (03, 16)             | 0.996339
85       | (27, 13)             | 0.997293
86       | (09, 11)             | 0.995160
87       | (27, 25)             | 0.998415
88       | (30, 23)             | 0.996855
89       | (15, 01)             | 0.205758
90       | (01, 12)             | 0.997745
91       | (27, 05)             | 0.997087
92       | (11, 08)             | 0.995109
93       | (07, 23)             | 0.997394
94       | (02, 30)             | 0.997868
95       | (27, 01)             | 0.997586
96       | (17, 03)             | 0.774817
97       | (20, 14)             | 0.996052
98       | (16, 26)             | 0.306220
99       | (04, 21)             | 0.997826
100      | (17, 05)             | 0.747334
101      | (31, 24)             | 0.994911
102      | (10, 10)             | 0.996117
103      | (24, 27)             | 0.998232
104      | (08, 07)             | 0.998253
105      | (00, 17)             | 0.999720
106      | (01, 03)             | 0.998979
107      | (21, 14)             | 0.994892
108      | (15, 02)             | 0.649022
109      | (22, 29)             | 0.998727
110      | (31, 27)             | 0.998737
111      | (04, 30)             | 0.998064
112      | (05, 02)             | 0.998887
113      | (07, 16)             | 0.998188
114      | (15, 26)             | 0.299179
115      | (12, 02)             | 0.997646
